employer,cei_score,year,cusip,release_date
"Airgas Inc., Radnor, PA",20.0,2019,009363102,2020-01-21
"Akamai Technologies Inc., Cambridge, MA",100.0,2019,00971T101,2020-01-21
"Alaska Airlines, Seattle, WA",90.0,2019,011662004,2020-01-21
"Alcoa Inc., Chicago, IL",95.0,2019,013817507,2020-01-21
"Alleghany Corp., New York, NY",20.0,2019,017175100,2020-01-21
"Alliance Data Systems Corp., Plano, TX",85.0,2019,018581108,2020-01-21
"Alliance One International, Morrisville, NC",0.0,2019,25493Y932,2020-01-21
"AllianceBernstein LP, New York, NY",100.0,2019,01881G106,2020-01-21
"Alliant Energy Corp., Madison, WI",100.0,2019,018802108,2020-01-21
"Allianz Life Insurance Co. of North America, Minneapolis, MN",100.0,2019,018805101,2020-01-21
"Allscripts-Misys Healthcare Solutions Inc., Chicago, IL",20.0,2019,01999Y932,2020-01-21
"Allstate Insurance Co., Northbrook, IL",95.0,2019,02099X006,2020-01-21
"Ally Financial Inc., Detroit, MI",100.0,2019,02005N100,2020-01-21
"Altria Group Inc., Richmond, VA",100.0,2019,02209S103,2020-01-21
"Amazon.com Inc., Seattle, WA",100.0,2019,023135106,2020-01-21
"Ameren Corp., St. Louis, MO",100.0,2019,023608102,2020-01-21
"American Airlines, Fort Worth, TX",100.0,2019,023771009,2020-01-21
"American Apparel LLC, Los Angeles, CA",80.0,2019,023850100,2020-01-21
"American Eagle Outfitters Inc., Pittsburgh, PA",85.0,2019,02553E106,2020-01-21
"American Electric Power Co. Inc., Columbus, OH",85.0,2019,025537101,2020-01-21
"American Express Co., New York, NY",100.0,2019,025816109,2020-01-21
"American Express Global Business Travel, Jersey City, NJ",100.0,2019,025816109,2020-01-21
"American Financial Group, Cincinnati, OH",20.0,2019,025932104,2020-01-21
"Ameriprise Financial Inc., Minneapolis, MN",90.0,2019,03076C106,2020-01-21
"AmerisourceBergen Corp., Chesterbrook, PA",100.0,2019,03073E105,2020-01-21
"Amgen Inc., Thousand Oaks, CA",100.0,2019,031162100,2020-01-21
"Amphenol Corp., Wallingford, CT",20.0,2019,032095101,2020-01-21
"Anadarko Petroleum, The Woodlands, TX",65.0,2019,032511107,2020-01-21
"Anheuser-Busch Companies Inc., St. Louis, MO",100.0,2019,035229103,2020-01-21
"Anixter International Inc., Glenview, IL",20.0,2019,035290105,2020-01-21
"Anthem Inc., Indianapolis, IN",100.0,2019,036752103,2020-01-21
"Aon Corp., Chicago, IL",100.0,2019,G0408V102,2020-01-21
"Apache Corp., Houston, TX",20.0,2019,037411105,2020-01-21
"Apple Inc., Cupertino, CA",100.0,2019,037833100,2020-01-21
"Applied Materials Inc., Santa Clara, CA",100.0,2019,038222105,2020-01-21
"Aramark Corp., Philadelphia, PA",100.0,2019,002034932,2020-01-21
"Archer Daniels Midland Co., Chicago, IL",60.0,2019,039483102,2020-01-21
"Arconic Inc., New York, NY",100.0,2019,013817507,2020-01-21
"Arrow Electronics, Centennial, CO",100.0,2019,042735100,2020-01-21
"Asbury Automotive Group, Duluth, GA",20.0,2019,043436104,2020-01-21
"Ascena Retail Group Inc., Mahwah, NJ",90.0,2019,04351G101,2020-01-21
"Ashland Inc., Covington, KY",40.0,2019,044186104,2020-01-21
"AstraZeneca PLC, Wilmington, DE",95.0,2019,046353108,2020-01-21
"AthenaHealth Inc., Watertown, MA",100.0,2019,04685W103,2020-01-21
"AutoNation Inc., Fort Lauderdale, FL",10.0,2019,05329W102,2020-01-21
"AutoZone Inc., Memphis, TN",40.0,2019,053332102,2020-01-21
"Autodesk Inc., San Rafael, CA",100.0,2019,052769106,2020-01-21
"Autoliv Inc., Auburn Hills, MI",10.0,2019,052800109,2020-01-21
"Avaya Inc., Santa Clara, CA",60.0,2019,05399R942,2020-01-21
"Aventis Pharmaceuticals Inc., Bridgewater, NJ",100.0,2019,053561106,2020-01-21
"Avery Dennison, Glendale, CA",20.0,2019,053611109,2020-01-21
"Avis Budget Group Inc., Parsippany, NJ",90.0,2019,053774105,2020-01-21
"Avnet Inc., Phoenix, AZ",65.0,2019,053807103,2020-01-21
"Avon Products Inc., New York, NY",90.0,2019,054303102,2020-01-21
"Aéropostale Inc., Lyndhurst, NJ",90.0,2019,00215Q103,2020-01-21
"B J’s Wholesale Club, Westborough, MA",85.0,2019,05548J106,2020-01-21
"BAE Systems Inc., Arlington, VA",85.0,2019,055231104,2020-01-21
"BASF Corp., Florham Park, NJ",100.0,2019,055262505,2020-01-21
"BB&T Corp., Winston- Salem, NC",90.0,2019,054937107,2020-01-21
"BMC Software Inc., Houston, TX",45.0,2019,055921100,2020-01-21
"BNP Paribas, New York, NY",100.0,2019,05565A202,2020-01-21
"BP America Inc., Houston, TX",100.0,2019,055625008,2020-01-21
"Baker Hughes Inc., Houston, TX",10.0,2019,057224107,2020-01-21
"Baldor Electric Co., Fort Smith, AR",25.0,2019,057741100,2020-01-21
"Ball Corp., Broomfield, CO",95.0,2019,058498106,2020-01-21
"Bank of America Corp., Charlotte, NC",75.0,2019,060505104,2020-01-21
"Bank of New York Mellon Corp., The, New York, NY",100.0,2019,064058100,2020-01-21
"Barnes & Noble Inc., New York, NY",100.0,2019,067774109,2020-01-21
"Baxter International Inc., Deerfield, IL",100.0,2019,071813109,2020-01-21
"Bayer U.S. LLC, Whippany, NJ",100.0,2019,459041109,2020-01-21
"Becton, Dickinson and Co., Franklin Lakes, NJ",100.0,2019,075887109,2020-01-21
"Bed Bath & Beyond Inc., Union, NJ",20.0,2019,075896100,2020-01-21
"Ben & Jerry’s Homemade Inc., South Burlington, VT",95.0,2019,081465106,2020-01-21
"Berkshire Hathaway Inc., Omaha, NE",20.0,2019,084670702,2020-01-21
"Best Buy Co. Inc., Richfield, MN",100.0,2019,086516101,2020-01-21
"Big Lots, Columbus, OH",20.0,2019,089302103,2020-01-21
"Bloomin’ Brands Inc., Tampa, FL",50.0,2019,094235108,2020-01-21
"Bob Evans Farms Inc., New Albany, OH",75.0,2019,096761101,2020-01-21
"Boeing Co., Chicago, IL",90.0,2019,097023105,2020-01-21
"Bon-Ton Stores, Inc., York, PA",60.0,2019,09776J101,2020-01-21
"Books-A-Million Inc., Birmingham, AL",80.0,2019,098570104,2020-01-21
"Booz Allen Hamilton Inc., McLean, VA",100.0,2019,099500100,2020-01-21
"Borders Group Inc., Ann Arbor, MI",30.0,2019,099709107,2020-01-21
"BorgWarner Inc., Auburn Hills, MI",40.0,2019,099724106,2020-01-21
"Boston Scientific Corp., Marlborough, MA",100.0,2019,101137107,2020-01-21
"Box Inc., Redwood City, CA",100.0,2019,10316T104,2020-01-21
"Bridgestone Americas Holding Inc., Nashville, TN",90.0,2019,318315108,2020-01-21
"Brinker International Inc., Dallas, TX",65.0,2019,109641100,2020-01-21
"Bristol-Myers Squibb Co., New York, NY",100.0,2019,110122108,2020-01-21
"Broadridge Financial Solutions Inc., Lake Success, NY",100.0,2019,11133T103,2020-01-21
"Brown-Forman Corp., Louisville, KY",100.0,2019,115637209,2020-01-21
"Burger King Corp., Miami, FL",100.0,2019,12122010,2020-01-21
"Burlington Northern Santa Fe Corp., Fort Worth, TX",20.0,2019,08499Z004,2020-01-21
"Burlington Store, Inc., Burlington, NJ",80.0,2019,122017106,2020-01-21
"C. H. Robinson Worldwide, Eden Prairie, MN",20.0,2019,12541W209,2020-01-21
"CBRE, Inc., Los Angeles, CA",100.0,2019,12504L109,2020-01-21
"CBS Corp., New York, NY",100.0,2019,124857202,2020-01-21
"CDW Corp., Lincolnshire, IL",100.0,2019,12514G108,2020-01-21
"CHS Inc., Inver Grove Heights, MN",20.0,2019,12542R993,2020-01-21
"CIT Group Inc., New York, NY",95.0,2019,125581801,2020-01-21
"CME Group Inc., Chicago, IL",100.0,2019,12572Q105,2020-01-21
"CST Brands, San Antonio, TX",10.0,2019,12646R105,2020-01-21
"CSX Corp., Jacksonville, FL",70.0,2019,126408103,2020-01-21
"CVS Health Corp., Woonsocket, RI",90.0,2019,126650100,2020-01-21
"Caesars Entertainment Corp., Las Vegas, NV",100.0,2019,127686103,2020-01-21
"Calpine Corp., Houston, TX",20.0,2019,131347304,2020-01-21
"Campbell Soup Co., Camden, NJ",100.0,2019,134429109,2020-01-21
"Capital One Financial Corp., McLean, VA",100.0,2019,14040H105,2020-01-21
"CarMax Inc., Richmond, VA",100.0,2019,143130102,2020-01-21
"Cardinal Health Inc., Dublin, OH",100.0,2019,14149Y108,2020-01-21
"Caribou Coffee Company Inc., Minneapolis, MN",55.0,2019,142042209,2020-01-21
"Carlson, Inc., Minnetonka, MN",100.0,2019,145845103,2020-01-21
"Carlyle Group LP, The, Washington, DC",100.0,2019,14309L102,2020-01-21
"Carnival Corp., Miami, FL",100.0,2019,143658300,2020-01-21
"Casey’s General Stores, Inc., Ankeny, IA",0.0,2019,147528103,2020-01-21
"Caterpillar Inc., Peoria, IL",85.0,2019,149123101,2020-01-21
"Celanese Corp., Irving, TX",100.0,2019,150870103,2020-01-21
"Celgene Corp., Summit, NJ",100.0,2019,151020104,2020-01-21
"Centene Corp., St. Louis, MO",95.0,2019,15135B101,2020-01-21
"CenterPoint Energy Inc., Houston, TX",20.0,2019,15189T107,2020-01-21
"CenturyLink Inc., Monroe, LA",100.0,2019,156700106,2020-01-21
"Cerner Corp., North Kansas City, MO",100.0,2019,156782104,2020-01-21
"Charles Schwab & Co. Inc., San Francisco, CA",100.0,2019,808513105,2020-01-21
"Charter Communications, Stamford, CT",90.0,2019,16119P108,2020-01-21
"Chesapeake Energy Corp., Oklahoma City, OK",65.0,2019,165167107,2020-01-21
"Chevron Corp., San Ramon, CA",100.0,2019,166764100,2020-01-21
"Chipotle Mexican Grill Inc., Denver, CO",70.0,2019,169656105,2020-01-21
"Choice Hotels International Inc., Rockville, MD",100.0,2019,169905106,2020-01-21
"Chubb Corp., Philadelphia, PA",100.0,2019,171232101,2020-01-21
"Cigna, Philadelphia, PA",100.0,2019,125509109,2020-01-21
"Cisco Systems Inc., San Jose, CA",100.0,2019,17275R102,2020-01-21
"Citigroup Inc., New York, NY",100.0,2019,172967424,2020-01-21
"Citizens Financial Group, Providence, RI",90.0,2019,174610105,2020-01-21
"Citrix Systems Inc., Fort Lauderdale, FL",100.0,2019,177376100,2020-01-21
"Clorox Co., The, Oakland, CA",100.0,2019,189054109,2020-01-21
"Coca-Cola Co., The, Atlanta, GA",100.0,2019,191216100,2020-01-21
"Cognizant Technology Solutions Corp., Teaneck, NJ",20.0,2019,192446102,2020-01-21
"Colgate-Palmolive Co., New York, NY",100.0,2019,194162103,2020-01-21
"Columbia Pipeline Group, Houston, TX",50.0,2019,198280109,2020-01-21
"Comerica Inc., Dallas, TX",100.0,2019,200340107,2020-01-21
"Community Health Systems Inc., Franklin, TN",20.0,2019,203668108,2020-01-21
"Compass Bancshares Inc. (BBVA Compass), Birmingham, AL",100.0,2019,05946K002,2020-01-21
"Computer Sciences Corp. (CSC), Falls Church, VA",55.0,2019,205363100,2020-01-21
"ConAgra Brands Inc., Chicago, IL",100.0,2019,205887102,2020-01-21
"ConocoPhillips, Houston, TX",90.0,2019,20825C104,2020-01-21
"Consolidated Edison Co., New York, NY",65.0,2019,209115104,2020-01-21
"Constellation Brands Inc., Victor, NY",100.0,2019,21036P108,2020-01-21
"Constellation Energy Group Inc., Baltimore, MD",60.0,2019,210371100,2020-01-21
"Consumers Energy, Jackson, MI",90.0,2019,210518007,2020-01-21
"Cooper Tire & Rubber Co., Findlay, OH",75.0,2019,216831107,2020-01-21
"Corbis Corp., Seattle, WA",35.0,2019,218525103,2020-01-21
"Core-Mark Holding Company, Inc., South San Francisco, CA",25.0,2019,218682102,2020-01-21
"Costco Wholesale Corp., Issaquah, WA",60.0,2019,22160K105,2020-01-21
"Cox Communications Inc., Atlanta, GA",100.0,2019,22499Z005,2020-01-21
"Cox Enterprises Inc., Atlanta, GA",100.0,2019,22499Z005,2020-01-21
"Cracker Barrel Old Country Store Inc., Lebanon, TN",80.0,2019,22410J106,2020-01-21
"Credit Suisse USA Inc., New York, NY",100.0,2019,225401009,2020-01-21
"Crown Holdings, Philadelphia, PA",10.0,2019,228368106,2020-01-21
"Cummins Inc., Columbus, IN",100.0,2019,231021106,2020-01-21
"DISH Network Corp., Englewood, CO",10.0,2019,25470M109,2020-01-21
"DR Horton Inc., Fort Worth, TX",20.0,2019,23331A109,2020-01-21
"DTE Energy Co., Detroit, MI",85.0,2019,233331107,2020-01-21
"DaVita Inc., Denver, CO",65.0,2019,23918K108,2020-01-21
"Daimler Trucks North America LLC, Portland, OR",90.0,2019,D1668R123,2020-01-21
"Dana Corp., Toledo, OH",75.0,2019,23599Z937,2020-01-21
"Danaher Corp., Washington, DC",100.0,2019,235851102,2020-01-21
"Darden Restaurants Inc., Orlando, FL",90.0,2019,237194105,2020-01-21
"Dean Foods Co., Dallas, TX",20.0,2019,242370203,2020-01-21
"Deere & Co., Moline, IL",90.0,2019,244199105,2020-01-21
"Delek US Holdings, Brentwood, TN",20.0,2019,24665A103,2020-01-21
"Delta Air Lines Inc., Atlanta, GA",85.0,2019,247361702,2020-01-21
"Denny’s Corp., Spartanburg, SC",90.0,2019,24869P104,2020-01-21
"Deutsche Bank, New York, NY",100.0,2019,D18190898,2020-01-21
"Devon Energy Corp., Oklahoma City, OK",50.0,2019,25179M103,2020-01-21
"Diageo North America, Norwalk, CT",100.0,2019,25243Q205,2020-01-21
"Dick’s Sporting Goods Inc., Coraopolis, PA",20.0,2019,253393102,2020-01-21
"Dillard’s Inc., Little Rock, AR",0.0,2019,254067101,2020-01-21
"Discover Financial Services, Riverwoods, IL",100.0,2019,254709108,2020-01-21
"Discovery Communications Inc., Silver Spring, MD",20.0,2019,25470F104,2020-01-21
"Dole Food Co. Inc., Westlake Village, CA",0.0,2019,256603101,2020-01-21
"Dollar General Corp., Goodlettsville, TN",90.0,2019,256677105,2020-01-21
"Dollar Tree Stores, Inc., Chesapeake, VA",20.0,2019,256746108,2020-01-21
"Domino’s Pizza Inc., Ann Arbor, MI",50.0,2019,25754A201,2020-01-21
"Dover Corp., Downers Grove, IL",10.0,2019,260003108,2020-01-21
"Dow Chemical Co., The, Midland, MI",100.0,2019,26078J100,2020-01-21
"Duke Energy Corp., Charlotte, NC",100.0,2019,26441C204,2020-01-21
"Dun & Bradstreet Corp., The, Short Hills, NJ",100.0,2019,26483E100,2020-01-21
"Dunkin’ Brands Group Inc., Canton, MA",100.0,2019,265504100,2020-01-21
"E*TRADE Financial Corporation, New York, NY",100.0,2019,269246401,2020-01-21
"E. I. du Pont de Nemours and Co. (DuPont), Wilmington, DE",100.0,2019,263534109,2020-01-21
"EMCOR Group Inc., Norwalk, CT",10.0,2019,29084Q100,2020-01-21
"EOG Resources, Houston, TX",20.0,2019,26875P101,2020-01-21
"EarthLink Inc., Atlanta, GA",35.0,2019,270322100,2020-01-21
"Eastman Chemical Co., Kingsport, TN",90.0,2019,277432100,2020-01-21
"Eastman Kodak Co., Rochester, NY",100.0,2019,277461406,2020-01-21
"Eaton Corp., Cleveland, OH",100.0,2019,277910105,2020-01-21
"Ecolab Inc., St. Paul, MN",100.0,2019,278865100,2020-01-21
"Edison International, Rosemead, CA",100.0,2019,281020107,2020-01-21
"Edward Jones, St. Louis, MO",100.0,2019,48099X108,2020-01-21
"Electronic Arts Inc., Redwood City, CA",100.0,2019,285512109,2020-01-21
"Eli Lilly & Co., Indianapolis, IN",100.0,2019,532457108,2020-01-21
"Emerson Electric Co., St. Louis, MO",100.0,2019,291011104,2020-01-21
"Emmis Communications Corporation, Indianapolis, IN",30.0,2019,291525400,2020-01-21
"Energy Transfer Equity L.P., Dallas, TX",20.0,2019,29273V100,2020-01-21
"Entergy Corp., New Orleans, LA",85.0,2019,29364G103,2020-01-21
"Enterprise Holdings Inc., St. Louis, MO",95.0,2019,12643Y202,2020-01-21
"Enterprise Products Partners LP, Houston, TX",0.0,2019,293792107,2020-01-21
"Essendant Inc., Deerfield, IL",10.0,2019,296689102,2020-01-21
"Estée Lauder Companies Inc., The, New York, NY",100.0,2019,518439104,2020-01-21
"Eversource Energy, Springfield, MA",75.0,2019,30040W108,2020-01-21
"Exelon Corp., Chicago, IL",100.0,2019,30161N101,2020-01-21
"Expeditors International of Washington, Inc., Seattle, WA",10.0,2019,302130109,2020-01-21
"Express Scripts Holding Company, St. Louis, MO",100.0,2019,30219G108,2020-01-21
"Exxon Mobil Corp., Irving, TX",85.0,2019,30231G102,2020-01-21
"Facebook Inc., Menlo Park, CA",100.0,2019,30303M102,2020-01-21
"FactSet Research Systems Inc., Norwalk, CT",100.0,2019,303075105,2020-01-21
"FedEx Corp., Memphis, TN",90.0,2019,31428X106,2020-01-21
"Federal Home Loan Mortgage Corp. (Freddie Mac), McLean, VA",100.0,2019,313400301,2020-01-21
"Federal National Mortgage Association (Fannie Mae), Washington, DC",100.0,2019,313586109,2020-01-21
"Fidelity National Financial Corp., Jacksonville, FL",20.0,2019,316326107,2020-01-21
"Fidelity National Information Services Inc., Jacksonville, FL",100.0,2019,31699Y932,2020-01-21
"Fifth Third Bancorp, Cincinnati, OH",100.0,2019,316773100,2020-01-21
"First American Financial Corp., Santa Ana, CA",100.0,2019,31847R102,2020-01-21
"First Data Corp., Atlanta, GA",100.0,2019,32008D106,2020-01-21
"First Horizon National Corp., Memphis, TN",75.0,2019,320517105,2020-01-21
"FirstEnergy Corp., Akron, OH",20.0,2019,337932107,2020-01-21
"Fiserv Inc., Brookfield, WI",20.0,2019,337738108,2020-01-21
"Fluor Corp., Irving, TX",60.0,2019,343412102,2020-01-21
"Foot Locker Inc., New York, NY",10.0,2019,344849104,2020-01-21
"Ford Motor Co., Dearborn, MI",90.0,2019,345370860,2020-01-21
"Fortive Corp., Everett, WA",100.0,2019,34959J108,2020-01-21
"Fossil Inc., Richardson, TX",80.0,2019,34988V106,2020-01-21
"Franklin Templeton Investments, San Mateo, CA",100.0,2019,35472T100,2020-01-21
"Freeport-McMoRan Copper & Gold Inc., Phoenix, AZ",20.0,2019,35693Y939,2020-01-21
"Freescale Semiconductor Inc., Austin, TX",50.0,2019,35699Z005,2020-01-21
"Frontier Communications, Stamford, CT",10.0,2019,35906A306,2020-01-21
"GODADDY Inc., Scottsdale, AZ",100.0,2019,380237107,2020-01-21
"GameStop Corp., Grapevine, TX",100.0,2019,36467W109,2020-01-21
"Gannett Co. Inc., McLean, VA",100.0,2019,36473H104,2020-01-21
"Gap Inc., San Francisco, CA",100.0,2019,364760108,2020-01-21
"Gartner Inc., Stamford, CT",100.0,2019,366651107,2020-01-21
"Genentech Inc., South San Francisco, CA",100.0,2019,368710406,2020-01-21
"General Dynamics Corp., Falls Church, VA",75.0,2019,369550108,2020-01-21
"General Electric Co., Boston, MA",90.0,2019,369604103,2020-01-21
"General Mills Inc., Minneapolis, MN",100.0,2019,370334104,2020-01-21
"General Motors Corp., Milford, MI",90.0,2019,37099Z932,2020-01-21
"Genesco Inc., Nashville, TN",90.0,2019,371532102,2020-01-21
"Genesis HealthCare Corp., Kennett Square, PA",20.0,2019,37184D101,2020-01-21
"Genuine Parts Co., Atlanta, GA",0.0,2019,372460105,2020-01-21
"Genworth Financial Inc., Richmond, VA",100.0,2019,37247D106,2020-01-21
"Gilead Sciences Inc., Foster City, CA",100.0,2019,375558103,2020-01-21
"GlaxoSmithKline LLC, Research Triangle Park, NC",100.0,2019,37733W105,2020-01-21
"Global Partners, Waltham, MA",10.0,2019,37931J203,2020-01-21
"Goldman Sachs Group Inc., The, New York, NY",100.0,2019,38141G104,2020-01-21
"Goodyear Tire & Rubber Co., Akron, OH",90.0,2019,382550101,2020-01-21
"Google Inc., Mountain View, CA",100.0,2019,38259P500,2020-01-21
"Graham Holdings, Arlington, VA",10.0,2019,384637104,2020-01-21
"Graybar Electric Company, Inc., St. Louis, MO",20.0,2019,389406109,2020-01-21
"Group 1 Automotive, Houston, TX",25.0,2019,398905109,2020-01-21
"Groupon Inc., Chicago, IL",100.0,2019,399473107,2020-01-21
"Guardian Life Insurance Co. of America, The, New York, NY",100.0,2019,40199Y938,2020-01-21
"H&R Block Inc., Kansas City, MO",85.0,2019,093671105,2020-01-21
"HCA - Hospital Corporation of America, Nashville, TN",70.0,2019,404120107,2020-01-21
"HD Supply, Atlanta, GA",20.0,2019,40416M105,2020-01-21
"HP Inc., Palo Alto, CA",90.0,2019,40434L105,2020-01-21
"HRG Group, New York, NY",10.0,2019,40434J100,2020-01-21
"HSBC USA Inc., Prospect Heights, IL",100.0,2019,40499Y000,2020-01-21
"HSN Inc., St. Petersburg, FL",90.0,2019,404303109,2020-01-21
"Hain Celestial Group, Inc (The), Boulder, CO",80.0,2019,405217100,2020-01-21
"Halliburton Co., Houston, TX",0.0,2019,406216101,2020-01-21
"Hanesbrands Inc., Winston-Salem, NC",75.0,2019,410345102,2020-01-21
"Hanover Insurance Group Inc., Worcester, MA",100.0,2019,410867105,2020-01-21
"Harley-Davidson Inc., Milwaukee, WI",90.0,2019,412822108,2020-01-21
"Harman International Industries Inc., Stamford, CT",0.0,2019,413085101,2020-01-21
"Harris Corp., Melbourne, FL",100.0,2019,413875105,2020-01-21
"Hartford Financial Services Group Inc., The, Hartford, CT",100.0,2019,416515104,2020-01-21
"Hasbro Inc., Pawtucket, RI",85.0,2019,418056107,2020-01-21
"Hawaiian Airlines Inc., Honolulu, HI",85.0,2019,419849100,2020-01-21
"Health Care Service Corp., Chicago, IL",100.0,2019,299783936,2020-01-21
"Henry Schein Inc., Melville, NY",100.0,2019,806407102,2020-01-21
"Herman Miller Inc., Zeeland, MI",100.0,2019,600544100,2020-01-21
"Hershey Co., The, Hershey, PA",100.0,2019,427866108,2020-01-21
"Hertz Global Holdings Inc., Estero, FL",100.0,2019,42806J106,2020-01-21
"Hess Corp., New York, NY",65.0,2019,42809H107,2020-01-21
"Hewlett Packard Enterprise Co., Palo Alto, CA",80.0,2019,42824C109,2020-01-21
"Hilton Inc., McLean, VA",100.0,2019,43300A203,2020-01-21
"HollyFrontier Corp., Dallas, TX",20.0,2019,436106108,2020-01-21
"Home Depot Inc., The, Atlanta, GA",90.0,2019,437076102,2020-01-21
"Honda North America Inc., Marysville, OH",75.0,2019,438128308,2020-01-21
"Honeywell International Inc., Morris Township, NJ",55.0,2019,438516106,2020-01-21
"Hormel Foods Corp., Austin, MN",95.0,2019,440452100,2020-01-21
"Hortonworks Inc., Santa Clara, CA",50.0,2019,440894103,2020-01-21
"Host Hotels & Resorts Inc., Bethesda, MD",80.0,2019,44107P104,2020-01-21
"Houghton Mifflin Harcourt Co., Boston, MA",85.0,2019,44157R109,2020-01-21
"Humana Inc., Louisville, KY",100.0,2019,444859102,2020-01-21
"Huntington Bancshares Inc., Columbus, OH",100.0,2019,446150104,2020-01-21
"Huntington Ingalls Industries, Newport News, VA",90.0,2019,446413106,2020-01-21
"Huntsman Corp., The Woodlands, TX",45.0,2019,447011107,2020-01-21
"Huron Consulting Group Inc., Chicago, IL",100.0,2019,447462102,2020-01-21
"Hyatt Hotels Corp., Chicago, IL",100.0,2019,448579102,2020-01-21
"IAC/InterActiveCorp., New York, NY",100.0,2019,44919P508,2020-01-21
"IBM Corp., Armonk, NY",100.0,2019,449220003,2020-01-21
"IHS Markit Ltd., Houston, TX",90.0,2019,G47567105,2020-01-21
"INTL FCStone Inc., New York, NY",10.0,2019,46116V105,2020-01-21
"ITT Corp., White Plains, NY",25.0,2019,450680004,2020-01-21
"Icahn Enterprises LP, New York, NY",0.0,2019,451100101,2020-01-21
"Illinois Tool Works Inc., Glenview, IL",30.0,2019,452308109,2020-01-21
"Imation Corp., Oakdale, MN",30.0,2019,377185103,2020-01-21
"Infosys Limited Inc., Plano, TX",50.0,2019,456788108,2020-01-21
"Ingram Micro, Irvine, CA",90.0,2019,457153104,2020-01-21
"Insight Enterprises, Inc., Tempe, AZ",60.0,2019,45765U103,2020-01-21
"Intel Corp., Santa Clara, CA",100.0,2019,458140100,2020-01-21
"InterContinental Hotels Group Americas, Atlanta, GA",100.0,2019,45857P707,2020-01-21
"International Paper Co., Memphis, TN",20.0,2019,460146103,2020-01-21
"Interpublic Group of Companies Inc., New York, NY",100.0,2019,460690100,2020-01-21
"Intuit Inc., Mountain View, CA",100.0,2019,461202103,2020-01-21
"Invesco Ltd., Atlanta, GA",45.0,2019,G491BT108,2020-01-21
"Iron Mountain Inc., Boston, MA",100.0,2019,46284V101,2020-01-21
"J. B. Hunt Transport Services, Inc., Lowell, AR",20.0,2019,445658107,2020-01-21
"J. M. Smucker Co., Orrville, OH",55.0,2019,832696405,2020-01-21
"J.C. Penney Corp. Inc., Plano, TX",80.0,2019,708152004,2020-01-21
"JPMorgan Chase & Co., New York, NY",100.0,2019,46625H100,2020-01-21
"Jabil Circuit Inc., St. Petersburg, FL",20.0,2019,466313103,2020-01-21
"Jacobs Engineering Group Inc., Pasadena, CA",35.0,2019,469814107,2020-01-21
"JetBlue Airways Corp., Long Island City, NY",90.0,2019,477143101,2020-01-21
"John Hancock Financial Services Inc., Boston, MA",100.0,2019,41014S106,2020-01-21
"Johnson & Johnson, New Brunswick, NJ",100.0,2019,478160104,2020-01-21
"Johnson Controls Inc., Milwaukee, WI",80.0,2019,G51502105,2020-01-21
"KB Home, Los Angeles, CA",35.0,2019,48666K109,2020-01-21
"KKR & Co. LP, New York, NY",100.0,2019,48248M102,2020-01-21
"KLA-Tencor Corp., Milpitas, CA",20.0,2019,482480100,2020-01-21
"Kate Spade & Company, New York, NY",55.0,2019,485865109,2020-01-21
"Kellogg Co., Battle Creek, MI",100.0,2019,487836108,2020-01-21
"Kelly Services Inc., Troy, MI",100.0,2019,488152208,2020-01-21
"Kenneth Cole Productions Inc., New York, NY",90.0,2019,193294105,2020-01-21
"Kimberly-Clark Corporation, Irving, TX",90.0,2019,494368103,2020-01-21
"Kinder Morgan Inc., Houston, TX",20.0,2019,49456B101,2020-01-21
"Kindred Healthcare Inc., Louisville, KY",70.0,2019,494580103,2020-01-21
"Kohler Co., Kohler, WI",90.0,2019,500236104,2020-01-21
"Kohl’s Corp., Menomonee Falls, WI",80.0,2019,500255104,2020-01-21
"Komatsu Mining Corp., Milwaukee, WI",75.0,2019,500458401,2020-01-21
"Kraft Heinz Company, The, Pittsburgh, PA",90.0,2019,500754106,2020-01-21
"Kroger Co., The, Cincinnati, OH",95.0,2019,501044101,2020-01-21
"L Brands Inc., Columbus, OH",100.0,2019,501797104,2020-01-21
"LKQ Corp., Chicago, IL",20.0,2019,501889208,2020-01-21
"LPL Financial Holdings Inc., Boston, MA",100.0,2019,50212V100,2020-01-21
"Laboratory Corporation of America Holdings, Burlington, NC",100.0,2019,50540R409,2020-01-21
"Laclede Group Inc., The, St. Louis, MO",60.0,2019,505597100,2020-01-21
"Land O’Lakes Inc., Arden Hills, MN",90.0,2019,514666932,2020-01-21
"Las Vegas Sands Corp., Las Vegas, NV",20.0,2019,517834107,2020-01-21
"Lear Corp., Southfield, MI",90.0,2019,521865204,2020-01-21
"Legg Mason, Inc., Baltimore, MD",95.0,2019,524901105,2020-01-21
"Leidos Holdings, Reston, VA",85.0,2019,525327102,2020-01-21
"Lendlease Americas Inc., New York, NY",100.0,2019,027118108,2020-01-21
"Lennar Corp., Miami, FL",20.0,2019,526057104,2020-01-21
"Leucadia National Corporation, New York, NY",0.0,2019,527288104,2020-01-21
"Levi Strauss & Co., San Francisco, CA",100.0,2019,52736R938,2020-01-21
"Lexmark International Inc., Lexington, KY",100.0,2019,529771107,2020-01-21
"Liberty Global Inc., Englewood, CO",15.0,2019,53093Y938,2020-01-21
"Liberty Interactive Corp., Englewood, CO",0.0,2019,53071M930,2020-01-21
"Liberty Mutual Group, Boston, MA",100.0,2019,53099X934,2020-01-21
